uid,bank_account
Rwanda_uniqueid_2981,No
Kenya_uniqueid_5917,No
Kenya_uniqueid_5473,Yes
Tanzania_uniqueid_2733,No
Rwanda_uniqueid_5695,No
Tanzania_uniqueid_4468,No
Tanzania_uniqueid_5784,No
Rwanda_uniqueid_6241,No
Uganda_uniqueid_2108,No
Tanzania_uniqueid_1919,No
Kenya_uniqueid_912,Yes
Kenya_uniqueid_211,No
Rwanda_uniqueid_5168,Yes
Kenya_uniqueid_4529,No
Rwanda_uniqueid_1286,No
Kenya_uniqueid_4345,No
Rwanda_uniqueid_1446,No
Tanzania_uniqueid_4727,Yes
Tanzania_uniqueid_346,No
Rwanda_uniqueid_8604,No
Tanzania_uniqueid_2617,No
Tanzania_uniqueid_3065,No
Kenya_uniqueid_3781,No
Rwanda_uniqueid_5409,No
Tanzania_uniqueid_6429,No
Kenya_uniqueid_2202,No
Tanzania_uniqueid_4039,No
Rwanda_uniqueid_1501,No
Kenya_uniqueid_2885,Yes
Kenya_uniqueid_1476,No
Tanzania_uniqueid_6403,No
Kenya_uniqueid_3726,No
Kenya_uniqueid_5858,No
Tanzania_uniqueid_2186,No
Rwanda_uniqueid_8724,No
Kenya_uniqueid_3572,No
Rwanda_uniqueid_2232,No
Tanzania_uniqueid_2089,No
Uganda_uniqueid_878,No
Rwanda_uniqueid_6248,No
Kenya_uniqueid_1132,No
Tanzania_uniqueid_2763,No
Rwanda_uniqueid_1708,Yes
Kenya_uniqueid_3464,No
Kenya_uniqueid_248,No
Rwanda_uniqueid_4814,No
Rwanda_uniqueid_4473,No
Kenya_uniqueid_3422,No
Rwanda_uniqueid_8120,No
Rwanda_uniqueid_8708,No
Tanzania_uniqueid_3359,No
Kenya_uniqueid_5729,No
Rwanda_uniqueid_4748,No
Kenya_uniqueid_5924,No
Tanzania_uniqueid_5191,Yes
Tanzania_uniqueid_1664,No
Tanzania_uniqueid_4240,No
Uganda_uniqueid_1114,No
Kenya_uniqueid_222,No
Tanzania_uniqueid_3071,No
Tanzania_uniqueid_5287,No
Uganda_uniqueid_1750,No
Rwanda_uniqueid_8404,No
Kenya_uniqueid_5327,No
Kenya_uniqueid_502,No
Tanzania_uniqueid_4465,Yes
Rwanda_uniqueid_2743,No
Tanzania_uniqueid_247,No
Uganda_uniqueid_1675,No
Kenya_uniqueid_6054,No
Rwanda_uniqueid_6454,No
Tanzania_uniqueid_2371,No
Rwanda_uniqueid_4533,No
Rwanda_uniqueid_1848,No
Tanzania_uniqueid_1131,Yes
Rwanda_uniqueid_5787,No
Kenya_uniqueid_1604,No
Kenya_uniqueid_4983,No
Kenya_uniqueid_1046,No
Rwanda_uniqueid_5876,No
Rwanda_uniqueid_4980,No
Rwanda_uniqueid_6451,No
Uganda_uniqueid_131,No
Kenya_uniqueid_4825,No
Rwanda_uniqueid_4002,No
Kenya_uniqueid_1419,No
Tanzania_uniqueid_4165,No
Uganda_uniqueid_1773,No
Rwanda_uniqueid_1072,Yes
Rwanda_uniqueid_3247,Yes
Tanzania_uniqueid_5770,No
Rwanda_uniqueid_775,No
Rwanda_uniqueid_2358,No
Rwanda_uniqueid_7516,No
Tanzania_uniqueid_3497,Yes
Rwanda_uniqueid_7161,No
Rwanda_uniqueid_6862,Yes
Uganda_uniqueid_729,No
Kenya_uniqueid_4323,No
Tanzania_uniqueid_2802,No
Kenya_uniqueid_517,Yes
Tanzania_uniqueid_6276,No
Rwanda_uniqueid_67,No
Kenya_uniqueid_2172,No
Tanzania_uniqueid_5367,Yes
Rwanda_uniqueid_2188,No
Tanzania_uniqueid_5696,No
Uganda_uniqueid_1812,No
Rwanda_uniqueid_3706,No
Kenya_uniqueid_3845,No
Kenya_uniqueid_1881,Yes
Tanzania_uniqueid_3014,No
Kenya_uniqueid_3143,No
Rwanda_uniqueid_4645,No
Kenya_uniqueid_4098,No
Rwanda_uniqueid_7371,No
Rwanda_uniqueid_7343,No
Uganda_uniqueid_1395,No
Kenya_uniqueid_5360,No
Kenya_uniqueid_3166,No
Uganda_uniqueid_295,No
Rwanda_uniqueid_1583,No
Kenya_uniqueid_2085,No
Tanzania_uniqueid_3253,No
Kenya_uniqueid_1681,No
Rwanda_uniqueid_5858,No
Rwanda_uniqueid_5238,Yes
Tanzania_uniqueid_2411,Yes
Tanzania_uniqueid_282,No
Tanzania_uniqueid_4234,No
Rwanda_uniqueid_863,No
Kenya_uniqueid_2042,No
Rwanda_uniqueid_4962,No
Uganda_uniqueid_633,No
Tanzania_uniqueid_3336,No
Rwanda_uniqueid_2251,No
Kenya_uniqueid_3753,No
Kenya_uniqueid_470,Yes
Rwanda_uniqueid_399,No
Tanzania_uniqueid_3261,No
Rwanda_uniqueid_1953,No
Tanzania_uniqueid_5858,No
Tanzania_uniqueid_5579,No
Rwanda_uniqueid_5916,No
Kenya_uniqueid_4967,No
Tanzania_uniqueid_961,No
Tanzania_uniqueid_4985,No
Tanzania_uniqueid_5289,No
Kenya_uniqueid_4772,Yes
Kenya_uniqueid_521,No
Rwanda_uniqueid_208,No
Rwanda_uniqueid_200,No
Rwanda_uniqueid_1448,No
Rwanda_uniqueid_4412,Yes
Kenya_uniqueid_829,No
Rwanda_uniqueid_5674,No
Rwanda_uniqueid_3186,No
Rwanda_uniqueid_2415,No
Kenya_uniqueid_2426,No
Kenya_uniqueid_3003,No
Kenya_uniqueid_135,No
Tanzania_uniqueid_3725,No
Rwanda_uniqueid_3755,No
Rwanda_uniqueid_5967,No
Rwanda_uniqueid_5842,No
Tanzania_uniqueid_6607,No
Uganda_uniqueid_1969,No
Rwanda_uniqueid_5322,No
Rwanda_uniqueid_7458,Yes
Tanzania_uniqueid_4114,No
Kenya_uniqueid_2062,No
Tanzania_uniqueid_3117,No
Kenya_uniqueid_4297,No
Kenya_uniqueid_2241,No
Kenya_uniqueid_2623,No
Rwanda_uniqueid_7951,No
Tanzania_uniqueid_4378,No
Tanzania_uniqueid_5742,Yes
Rwanda_uniqueid_358,No
Rwanda_uniqueid_4660,No
Kenya_uniqueid_2843,No
Kenya_uniqueid_4094,No
Kenya_uniqueid_3384,No
Rwanda_uniqueid_693,No
Tanzania_uniqueid_998,No
Kenya_uniqueid_1531,No
Rwanda_uniqueid_7687,No
Tanzania_uniqueid_4787,No
Tanzania_uniqueid_3523,No
Rwanda_uniqueid_2752,No
Rwanda_uniqueid_2070,No
Rwanda_uniqueid_2224,No
Rwanda_uniqueid_156,Yes
Uganda_uniqueid_1717,No
Tanzania_uniqueid_4518,No
Rwanda_uniqueid_8588,No
Kenya_uniqueid_1969,No
Kenya_uniqueid_1596,No
Tanzania_uniqueid_4059,No
Uganda_uniqueid_799,Yes
Tanzania_uniqueid_1189,No
Rwanda_uniqueid_703,No
Rwanda_uniqueid_2730,No
Tanzania_uniqueid_5595,No
Rwanda_uniqueid_2590,No
Tanzania_uniqueid_1082,No
Kenya_uniqueid_2562,No
Kenya_uniqueid_4740,No
Rwanda_uniqueid_5302,No
Kenya_uniqueid_4011,No
Rwanda_uniqueid_6935,No
Uganda_uniqueid_1070,No
Rwanda_uniqueid_5724,No
Tanzania_uniqueid_1366,No
Rwanda_uniqueid_4043,No
Kenya_uniqueid_4270,Yes
Kenya_uniqueid_5245,No
Tanzania_uniqueid_5783,No
Kenya_uniqueid_5946,No
Tanzania_uniqueid_6096,No
Tanzania_uniqueid_6318,No
Kenya_uniqueid_5999,No
Tanzania_uniqueid_626,No
Uganda_uniqueid_1420,No
Kenya_uniqueid_4661,No
Tanzania_uniqueid_896,No
Rwanda_uniqueid_8048,No
Kenya_uniqueid_448,No
Kenya_uniqueid_3617,No
Rwanda_uniqueid_7708,No
Rwanda_uniqueid_1652,No
Tanzania_uniqueid_1004,No
Tanzania_uniqueid_1437,No
Tanzania_uniqueid_5990,No
Kenya_uniqueid_1298,No
Rwanda_uniqueid_2380,No
Rwanda_uniqueid_8078,No
Tanzania_uniqueid_860,No
Rwanda_uniqueid_1105,No
Tanzania_uniqueid_1146,Yes
Rwanda_uniqueid_5763,No
Tanzania_uniqueid_6239,No
Rwanda_uniqueid_1234,No
Rwanda_uniqueid_2420,Yes
Rwanda_uniqueid_3077,Yes
Kenya_uniqueid_2741,No
Tanzania_uniqueid_504,No
Kenya_uniqueid_1890,No
Rwanda_uniqueid_5986,Yes
Uganda_uniqueid_650,No
Tanzania_uniqueid_4778,No
Kenya_uniqueid_2389,No
Kenya_uniqueid_1088,No
Kenya_uniqueid_3779,No
Rwanda_uniqueid_5506,No
Rwanda_uniqueid_5702,No
Kenya_uniqueid_3602,No
Tanzania_uniqueid_5138,No
Tanzania_uniqueid_161,No
Kenya_uniqueid_1676,No
Uganda_uniqueid_1238,No
Rwanda_uniqueid_4309,No
Rwanda_uniqueid_6953,No
Rwanda_uniqueid_7488,Yes
Tanzania_uniqueid_756,Yes
Rwanda_uniqueid_5744,No
Rwanda_uniqueid_5163,Yes
Kenya_uniqueid_2584,No
Rwanda_uniqueid_1485,No
Kenya_uniqueid_4488,No
Tanzania_uniqueid_5521,No
Uganda_uniqueid_162,No
Kenya_uniqueid_3015,No
Rwanda_uniqueid_8135,No
Kenya_uniqueid_972,No
Kenya_uniqueid_200,No
Rwanda_uniqueid_2082,No
Rwanda_uniqueid_4566,No
Kenya_uniqueid_53,No
Kenya_uniqueid_5344,No
Tanzania_uniqueid_3468,Yes
Kenya_uniqueid_1228,No
Rwanda_uniqueid_4924,No
Tanzania_uniqueid_5380,No
Rwanda_uniqueid_6717,No
Rwanda_uniqueid_3820,No
Rwanda_uniqueid_4408,No
Kenya_uniqueid_1511,No
Tanzania_uniqueid_724,No
Rwanda_uniqueid_3541,No
Kenya_uniqueid_4105,Yes
Uganda_uniqueid_1198,No
Tanzania_uniqueid_6104,No
Tanzania_uniqueid_38,No
Rwanda_uniqueid_4538,No
Rwanda_uniqueid_3422,No
Rwanda_uniqueid_1594,No
Tanzania_uniqueid_4677,No
Kenya_uniqueid_4521,No
Tanzania_uniqueid_6603,No
Tanzania_uniqueid_5151,No
Tanzania_uniqueid_1635,No
Tanzania_uniqueid_1263,No
Rwanda_uniqueid_2773,No
Uganda_uniqueid_1560,No
Rwanda_uniqueid_3491,No
Tanzania_uniqueid_3001,No
Rwanda_uniqueid_3370,No
Rwanda_uniqueid_3463,No
Rwanda_uniqueid_7085,No
Rwanda_uniqueid_8719,No
Tanzania_uniqueid_1744,Yes
Kenya_uniqueid_3059,No
Rwanda_uniqueid_1211,No
Uganda_uniqueid_1723,No
Uganda_uniqueid_1220,No
Tanzania_uniqueid_2967,No
Kenya_uniqueid_2362,No
Rwanda_uniqueid_3052,No
Tanzania_uniqueid_3532,No
Tanzania_uniqueid_546,No
Rwanda_uniqueid_5665,No
Uganda_uniqueid_929,No
Kenya_uniqueid_368,No
Rwanda_uniqueid_5068,No
Tanzania_uniqueid_4669,No
Tanzania_uniqueid_4183,No
Kenya_uniqueid_4885,No
Kenya_uniqueid_5772,No
Kenya_uniqueid_3283,No
Uganda_uniqueid_46,No
Uganda_uniqueid_516,Yes
Kenya_uniqueid_3352,No
Uganda_uniqueid_860,No
Uganda_uniqueid_562,No
Rwanda_uniqueid_4941,No
Tanzania_uniqueid_5000,No
Rwanda_uniqueid_3462,No
Tanzania_uniqueid_2901,No
Rwanda_uniqueid_2727,Yes
Rwanda_uniqueid_6279,No
Rwanda_uniqueid_2712,No
Uganda_uniqueid_371,No
Rwanda_uniqueid_6662,No
Tanzania_uniqueid_5150,Yes
Kenya_uniqueid_1193,No
Tanzania_uniqueid_3241,No
Rwanda_uniqueid_2113,No
Kenya_uniqueid_3795,No
Tanzania_uniqueid_6438,No
Rwanda_uniqueid_1515,No
Rwanda_uniqueid_3778,No
Rwanda_uniqueid_2987,No
Tanzania_uniqueid_2876,No
Tanzania_uniqueid_4710,No
Uganda_uniqueid_294,Yes
Uganda_uniqueid_767,No
Rwanda_uniqueid_4218,No
Rwanda_uniqueid_2841,No
Kenya_uniqueid_2948,No
Kenya_uniqueid_3019,No
Tanzania_uniqueid_2218,No
Kenya_uniqueid_3948,No
Tanzania_uniqueid_5780,No
Rwanda_uniqueid_2637,No
Rwanda_uniqueid_8232,No
Kenya_uniqueid_424,No
Uganda_uniqueid_118,No
Tanzania_uniqueid_1484,No
Uganda_uniqueid_666,No
Kenya_uniqueid_2253,No
Tanzania_uniqueid_5717,No
Tanzania_uniqueid_3624,No
Kenya_uniqueid_2005,No
Tanzania_uniqueid_4705,No
Tanzania_uniqueid_5402,No
Rwanda_uniqueid_395,No
Tanzania_uniqueid_6123,No
Kenya_uniqueid_5091,No
Rwanda_uniqueid_7829,No
Tanzania_uniqueid_6212,No
Kenya_uniqueid_4171,No
Tanzania_uniqueid_4596,Yes
Kenya_uniqueid_2291,No
Tanzania_uniqueid_4628,No
Tanzania_uniqueid_1307,No
Tanzania_uniqueid_5194,No
Uganda_uniqueid_665,No
Rwanda_uniqueid_638,No
Rwanda_uniqueid_2621,No
Rwanda_uniqueid_7261,No
Kenya_uniqueid_5793,No
Rwanda_uniqueid_2218,No
Tanzania_uniqueid_2114,No
Tanzania_uniqueid_3695,No
Kenya_uniqueid_3644,No
Kenya_uniqueid_697,No
Kenya_uniqueid_4376,No
Rwanda_uniqueid_7008,No
Tanzania_uniqueid_4104,No
Tanzania_uniqueid_6284,No
Rwanda_uniqueid_4227,No
Tanzania_uniqueid_3609,Yes
Kenya_uniqueid_4611,No
Tanzania_uniqueid_2306,No
Uganda_uniqueid_1099,No
Rwanda_uniqueid_1665,No
Tanzania_uniqueid_3277,No
Tanzania_uniqueid_4625,No
Rwanda_uniqueid_1664,No
Uganda_uniqueid_1073,No
Rwanda_uniqueid_6066,No
Kenya_uniqueid_1057,No
Tanzania_uniqueid_4226,No
Rwanda_uniqueid_7037,No
Rwanda_uniqueid_561,No
Tanzania_uniqueid_5892,No
Tanzania_uniqueid_2725,No
Tanzania_uniqueid_5997,No
Tanzania_uniqueid_3154,No
Kenya_uniqueid_316,No
Kenya_uniqueid_209,No
Kenya_uniqueid_1714,No
Rwanda_uniqueid_3792,No
Tanzania_uniqueid_5533,No
Uganda_uniqueid_1390,No
Rwanda_uniqueid_4052,No
Rwanda_uniqueid_4424,No
Tanzania_uniqueid_6466,No
Tanzania_uniqueid_4643,No
Tanzania_uniqueid_3049,No
Rwanda_uniqueid_3471,No
Tanzania_uniqueid_4760,No
Rwanda_uniqueid_6722,No
Uganda_uniqueid_1699,No
Tanzania_uniqueid_5516,Yes
Rwanda_uniqueid_4493,No
Rwanda_uniqueid_6035,No
Kenya_uniqueid_1148,No
Kenya_uniqueid_4814,No
Uganda_uniqueid_536,No
Kenya_uniqueid_4192,No
Rwanda_uniqueid_820,No
Uganda_uniqueid_1009,No
Kenya_uniqueid_3319,No
Rwanda_uniqueid_1962,No
Tanzania_uniqueid_1857,No
Tanzania_uniqueid_3308,No
Kenya_uniqueid_4187,No
Kenya_uniqueid_2477,Yes
Kenya_uniqueid_4266,No
Kenya_uniqueid_3848,No
Uganda_uniqueid_632,No
Tanzania_uniqueid_3699,No
Rwanda_uniqueid_6600,No
Kenya_uniqueid_284,No
Rwanda_uniqueid_7662,No
Rwanda_uniqueid_1153,No
Kenya_uniqueid_1028,No
Kenya_uniqueid_997,Yes
Uganda_uniqueid_48,No
Rwanda_uniqueid_4139,No
Tanzania_uniqueid_6396,Yes
Tanzania_uniqueid_5573,No
Tanzania_uniqueid_1444,No
Tanzania_uniqueid_4225,No
Rwanda_uniqueid_4512,No
Kenya_uniqueid_2035,No
Rwanda_uniqueid_3925,No
Kenya_uniqueid_2906,No
Rwanda_uniqueid_7417,No
Kenya_uniqueid_1494,No
Kenya_uniqueid_4402,No
Tanzania_uniqueid_742,No
Rwanda_uniqueid_1618,No
Kenya_uniqueid_429,No
Rwanda_uniqueid_2710,No
Tanzania_uniqueid_197,No
Tanzania_uniqueid_1330,No
Rwanda_uniqueid_3661,No
Tanzania_uniqueid_2897,No
Kenya_uniqueid_2725,No
Uganda_uniqueid_34,No
Tanzania_uniqueid_4497,Yes
Rwanda_uniqueid_7635,No
Uganda_uniqueid_1887,No
Rwanda_uniqueid_3703,Yes
Kenya_uniqueid_2255,No
Kenya_uniqueid_1645,No
Tanzania_uniqueid_1547,No
Rwanda_uniqueid_2153,No
Rwanda_uniqueid_824,No
Rwanda_uniqueid_1504,No
Tanzania_uniqueid_3570,No
Rwanda_uniqueid_5540,No
Kenya_uniqueid_3586,No
Rwanda_uniqueid_1096,No
Rwanda_uniqueid_3315,No
Tanzania_uniqueid_4335,No
Tanzania_uniqueid_2663,No
Tanzania_uniqueid_4057,No
Uganda_uniqueid_468,No
Rwanda_uniqueid_1124,No
Rwanda_uniqueid_1342,No
Rwanda_uniqueid_8757,No
Kenya_uniqueid_1504,No
Tanzania_uniqueid_6635,No
Kenya_uniqueid_2636,No
Rwanda_uniqueid_2980,Yes
Kenya_uniqueid_4904,No
Rwanda_uniqueid_1946,No
Kenya_uniqueid_1484,Yes
Tanzania_uniqueid_2147,No
Rwanda_uniqueid_5256,No
Tanzania_uniqueid_2168,No
Kenya_uniqueid_4956,No
Tanzania_uniqueid_3322,No
Rwanda_uniqueid_2121,No
Uganda_uniqueid_681,No
Kenya_uniqueid_1064,No
Rwanda_uniqueid_3790,No
Tanzania_uniqueid_3052,Yes
Kenya_uniqueid_2196,No
Rwanda_uniqueid_6588,No
Kenya_uniqueid_4044,No
Uganda_uniqueid_854,No
Tanzania_uniqueid_5721,No
Rwanda_uniqueid_2795,No
Tanzania_uniqueid_4911,No
Tanzania_uniqueid_6048,No
Tanzania_uniqueid_1924,Yes
Tanzania_uniqueid_4647,No
Tanzania_uniqueid_4353,No
Tanzania_uniqueid_3282,No
Tanzania_uniqueid_2905,Yes
Kenya_uniqueid_2347,No
Rwanda_uniqueid_1582,No
Kenya_uniqueid_4485,Yes
Rwanda_uniqueid_6413,No
Rwanda_uniqueid_3250,No
Rwanda_uniqueid_7527,No
Tanzania_uniqueid_4302,No
Tanzania_uniqueid_3426,No
Rwanda_uniqueid_2902,No
Rwanda_uniqueid_7582,No
Tanzania_uniqueid_6454,No
Rwanda_uniqueid_6420,No
Kenya_uniqueid_682,Yes
Tanzania_uniqueid_2469,No
Kenya_uniqueid_2639,No
Kenya_uniqueid_3212,No
Rwanda_uniqueid_7395,No
Tanzania_uniqueid_3161,No
Kenya_uniqueid_1475,No
Tanzania_uniqueid_4098,Yes
Rwanda_uniqueid_4984,No
Uganda_uniqueid_1500,Yes
Tanzania_uniqueid_4550,No
Kenya_uniqueid_3499,No
Rwanda_uniqueid_5993,No
Uganda_uniqueid_1842,No
Tanzania_uniqueid_2051,No
Kenya_uniqueid_2233,No
Kenya_uniqueid_2905,No
Rwanda_uniqueid_7694,No
Rwanda_uniqueid_4859,No
Kenya_uniqueid_1555,No
Tanzania_uniqueid_58,No
Rwanda_uniqueid_5454,No
Rwanda_uniqueid_6393,No
Uganda_uniqueid_834,No
Kenya_uniqueid_324,No
Kenya_uniqueid_2413,No
Kenya_uniqueid_3589,Yes
Rwanda_uniqueid_4674,No
Tanzania_uniqueid_6313,No
Kenya_uniqueid_3227,No
Kenya_uniqueid_3024,No
Kenya_uniqueid_1399,No
Kenya_uniqueid_5333,No
Kenya_uniqueid_5750,No
Kenya_uniqueid_5550,No
Tanzania_uniqueid_637,No
Rwanda_uniqueid_3132,No
Rwanda_uniqueid_5499,No
Rwanda_uniqueid_4017,No
Tanzania_uniqueid_688,No
Tanzania_uniqueid_2459,No
Tanzania_uniqueid_4522,No
Kenya_uniqueid_2865,No
Rwanda_uniqueid_2237,No
Rwanda_uniqueid_4054,No
Kenya_uniqueid_151,No
Kenya_uniqueid_2790,No
Rwanda_uniqueid_748,No
Rwanda_uniqueid_6680,No
Rwanda_uniqueid_2288,No
Rwanda_uniqueid_4581,No
Rwanda_uniqueid_5266,No
Rwanda_uniqueid_3784,No
Rwanda_uniqueid_4381,No
Rwanda_uniqueid_430,Yes
Rwanda_uniqueid_7041,No
Rwanda_uniqueid_821,No
Rwanda_uniqueid_3324,No
Kenya_uniqueid_3738,No
Tanzania_uniqueid_6633,No
Rwanda_uniqueid_2660,No
Rwanda_uniqueid_6143,No
Uganda_uniqueid_818,No
Kenya_uniqueid_4085,No
Rwanda_uniqueid_1231,No
Rwanda_uniqueid_8083,No
Kenya_uniqueid_4286,No
Rwanda_uniqueid_242,No
Tanzania_uniqueid_856,No
Tanzania_uniqueid_5895,No
Kenya_uniqueid_5805,No
Rwanda_uniqueid_3363,No
Rwanda_uniqueid_6555,No
Tanzania_uniqueid_3499,No
Rwanda_uniqueid_8259,No
Kenya_uniqueid_3734,No
Kenya_uniqueid_4731,No
Kenya_uniqueid_2360,No
Rwanda_uniqueid_804,No
Kenya_uniqueid_2142,No
Tanzania_uniqueid_43,No
Rwanda_uniqueid_1296,No
Rwanda_uniqueid_7992,No
Tanzania_uniqueid_6230,No
Rwanda_uniqueid_940,No
Uganda_uniqueid_1421,No
Rwanda_uniqueid_5541,No
Rwanda_uniqueid_5566,Yes
Rwanda_uniqueid_1791,No
Kenya_uniqueid_971,No
Kenya_uniqueid_5365,No
Rwanda_uniqueid_2189,No
Rwanda_uniqueid_6793,No
Tanzania_uniqueid_450,No
Tanzania_uniqueid_6190,No
Uganda_uniqueid_648,No
Tanzania_uniqueid_545,No
Rwanda_uniqueid_3996,No
Rwanda_uniqueid_6689,No
Kenya_uniqueid_467,No
Tanzania_uniqueid_1383,No
Tanzania_uniqueid_2724,No
Tanzania_uniqueid_6636,No
Kenya_uniqueid_5551,Yes
Kenya_uniqueid_5069,No
Tanzania_uniqueid_3097,Yes
Uganda_uniqueid_778,No
Tanzania_uniqueid_4026,No
Uganda_uniqueid_1344,No
Rwanda_uniqueid_424,No
Rwanda_uniqueid_5503,No
Rwanda_uniqueid_7661,No
Rwanda_uniqueid_8682,Yes
Rwanda_uniqueid_5971,No
Rwanda_uniqueid_1907,No
Tanzania_uniqueid_5263,No
Tanzania_uniqueid_748,No
Uganda_uniqueid_1284,Yes
Rwanda_uniqueid_7135,No
Tanzania_uniqueid_1756,No
Kenya_uniqueid_1428,No
Rwanda_uniqueid_8054,No
Rwanda_uniqueid_4183,No
Uganda_uniqueid_174,Yes
Rwanda_uniqueid_5514,No
Rwanda_uniqueid_3094,No
Kenya_uniqueid_5834,No
Kenya_uniqueid_2112,No
Tanzania_uniqueid_5011,No
Tanzania_uniqueid_105,Yes
Rwanda_uniqueid_4311,No
Tanzania_uniqueid_2457,No
Kenya_uniqueid_1053,No
Rwanda_uniqueid_8237,No
Rwanda_uniqueid_636,No
Kenya_uniqueid_3746,No
Uganda_uniqueid_2026,No
Rwanda_uniqueid_371,Yes
Tanzania_uniqueid_4239,No
Rwanda_uniqueid_7639,No
Rwanda_uniqueid_17,No
Tanzania_uniqueid_4975,No
Tanzania_uniqueid_5840,No
Tanzania_uniqueid_3697,No
Rwanda_uniqueid_7225,No
Kenya_uniqueid_1600,No
Tanzania_uniqueid_4022,No
Tanzania_uniqueid_1997,No
Rwanda_uniqueid_7429,No
Rwanda_uniqueid_2275,No
Rwanda_uniqueid_532,Yes
Rwanda_uniqueid_6541,No
Tanzania_uniqueid_4984,No
Tanzania_uniqueid_3324,No
Kenya_uniqueid_2728,Yes
Rwanda_uniqueid_288,No
Tanzania_uniqueid_5118,No
Tanzania_uniqueid_918,No
Kenya_uniqueid_4635,No
Rwanda_uniqueid_5834,Yes
Rwanda_uniqueid_7745,Yes
Kenya_uniqueid_5816,No
Rwanda_uniqueid_287,Yes
Kenya_uniqueid_5184,No
Kenya_uniqueid_3567,No
Kenya_uniqueid_1123,Yes
Rwanda_uniqueid_7808,No
Rwanda_uniqueid_5898,No
Rwanda_uniqueid_3222,No
Tanzania_uniqueid_4496,No
Rwanda_uniqueid_1981,No
Tanzania_uniqueid_2176,Yes
Tanzania_uniqueid_2936,No
Rwanda_uniqueid_4596,Yes
Rwanda_uniqueid_7541,No
Rwanda_uniqueid_8555,No
Rwanda_uniqueid_3995,No
Kenya_uniqueid_1922,No
